Cold Tongue Index (C*100, 6N-6S,180-90W SST anomaly minus global mean)
    1 -999
 1845 2010
Cold Tongue Index (C*100, 6N-6S,180-90W SST anomaly minus global mean)
http://jisao.washington.edu/enso/; -999 for missing, ICOADS data
values * 100; 1950-79 climatology.
       jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec
 1959    5    9   43   46   22  -12  -23  -23  -22   41    9    9
 1960    2   -6   18   10    4  -17  -23  -13   18  -28  -53  -27
 1961   -3   50    6  -12   -7   19  -34  -41  -76 -101  -25  -25
 1962  -13    8  -25  -81  -46  -17  -28  -27  -31  -33  -48  -69
 1963  -35  -28   13   10   13   26   63   78   74   71   84   91
 1964   72   16  -15  -62 -102 -108  -45  -59  -40  -50  -62  -77
 1965  -11   11   33   52  109  132  130  160  146  153  153  140
 1966  126   78   35    1  -19  -14   11   -7  -25   -2  -48  -54
 1967  -39  -20  -28  -22   15   31  -19  -93  -84  -69  -54  -50
 1968  -73  -82  -82  -45  -47   -5   30   48   42   44   58   74
 1969   75   40   41   52  103   71   27   67   69   92   92  112
 1970   69   21  -14    4  -30  -71 -118  -90  -71  -63 -101  -71
 1971 -110  -79  -58  -38  -31  -33  -37  -64  -41  -58  -57  -74
 1972  -17  -12   14   62   89  108  161  177  158  189  191  214
 1973  163   52   20  -41  -53  -72 -112 -107  -82  -83  -80 -107
 1974 -106  -77  -58  -12  -20   12   -1    6   -4  -64  -58  -65
 1975  -21  -35  -15   12  -26  -69  -61  -64  -76  -78  -79 -122
 1976 -100  -30  -11    4   48   86   84  133  110  117  109   68
 1977   94   54   44  -22   -3    5   21    0   11   41   50   60
 1978   57   51   -4  -35  -36  -47  -41  -65  -19    6    8   33
 1979  -13   17   14   30   38   35    7   23   66   55   59   36
 1980   39   22   22   17   46   57    0   -5   22   -7   35   40
 1981  -60  -56  -22  -34   -7   -2  -38  -48   10  -12  -27   24
 1982   31   -6   11   31   74  100   77  106  171  183  243  269
 1983  225  167  147  134  196  153  108   89   78  -15  -41  -64
 1984  -28   -5    2  -30  -49  -89  -25  -18  -10  -76  -41  -77
 1985  -67  -72  -71  -57  -72  -58  -57  -26  -53  -39  -42  -41
 1986  -50  -12  -11  -16  -26  -19   21   26   41   20   95   89
 1987  123  117  105  110  124  117  127  134  157  123  102   94
 1988   39   19   -8  -46 -125 -156 -135  -94  -57 -104 -106 -108
 1989  -85  -55  -81  -67  -33  -17  -58  -32  -15  -18  -27  -29
 1990  -13   13    3  -15   29   -1   -1   23   17   18   -2  -16
 1991   19    2    2   -1   50   82   66   56   46   97  112  139
 1992  151  143  109  109  111   48   34   11   18   -4   14   24
 1993   23   39   50   85  102   92   70   60   80   76   69   44
 1994   25   -2   -4  -10   16   29   11   41   62   88  108   92
 1995   77   65   10  -14  -26  -13  -27  -45  -50  -63  -76  -68
 1996  -54  -66  -51  -64  -44  -41  -24  -32  -35  -39  -40  -71
 1997  -44  -29   -8   34   96  115  163  196  222  219  253  235
 1998  216  161  121   73   57  -26  -74  -68  -56 -105 -128 -159
 1999 -157 -122  -90 -100  -69  -76  -76  -95  -74  -98 -132 -150
 2000 -151 -123  -81  -43  -46  -58  -52  -50  -40  -61  -70  -83
 2001  -69  -64  -41  -28  -29  -16   -7  -18  -11  -25  -32  -49
 2002  -16   -1   -2    4   21   55   55   64   95   90  128  106
 2003   82   47   29  -26  -62  -46  -15  -22    2   19   21   24
